Posición,Probabilidad
-16,0.0302
-15,0.0344
-14,0.0345
-13,0.0369
-12,0.0337
-11,0.038599999999999995
-10,0.0402
-9,0.0398
-8,0.03
-7,0.034699999999999995
-6,0.0369
-5,0.0363
-4,0.0361
-3,0.036199999999999996
-2,0.043300000000000005
-1,0.0413
0,0.0215
1,0.0215
2,0.0258
3,0.026099999999999998
4,0.024300000000000002
5,0.024800000000000003
6,0.0269
7,0.031200000000000002
8,0.02
9,0.0264
10,0.025
11,0.028399999999999998
12,0.025500000000000002
13,0.0277
14,0.0298
15,0.032
