Posición,Probabilidad
-16,2.275896293789263e-30
-15,0.0
-14,3.2394324009405185e-30
-13,0.0
-12,1.2063092872256372e-30
-11,0.0
-10,0.000976562499999778
-9,0.0
-8,0.06445312499998027
-7,0.0
-6,0.26269531249991995
-5,0.0
-4,0.06249999999998125
-3,0.0
-2,0.07421874999997741
-1,0.0
0,0.07031249999997902
1,0.0
2,0.07421874999997724
3,0.0
4,0.062499999999980696
5,0.0
6,0.2626953124999179
7,0.0
8,0.06445312499998053
9,0.0
10,0.0009765624999997368
11,0.0
12,1.5603137196077569e-30
13,0.0
14,9.595405522876861e-30
15,0.0
