Posición Horizontal,Posición Vertical,Probabilidad
-4,-4,0.005599999999999999
-4,-3,0.0032
-4,-2,0.0145
-4,-1,0.0064
-4,0,0.0324
-4,1,0.0161
-4,2,0.0179
-4,3,0.0076
-3,-4,0.0019999999999999996
-3,-3,0.0027
-3,-2,0.0078000000000000005
-3,-1,0.0052
-3,0,0.0138
-3,1,0.0103
-3,2,0.0076
-3,3,0.0043
-2,-4,0.0088
-2,-3,0.004200000000000001
-2,-2,0.0272
-2,-1,0.0079
-2,0,0.0644
-2,1,0.017400000000000002
-2,2,0.0277
-2,3,0.0085
-1,-4,0.0044
-1,-3,0.0028
-1,-2,0.0068
-1,-1,0.0056
-1,0,0.0178
-1,1,0.0127
-1,2,0.0091
-1,3,0.004399999999999999
0,-4,0.012199999999999999
0,-3,0.005600000000000001
0,-2,0.0546
0,-1,0.0085
0,0,0.10450000000000001
0,1,0.017
0,2,0.051100000000000007
0,3,0.0098
1,-4,0.0040999999999999995
1,-3,0.0018
1,-2,0.0107
1,-1,0.006
1,0,0.026600000000000002
1,1,0.0112
1,2,0.0138
1,3,0.0058
2,-4,0.008
2,-3,0.0045000000000000005
2,-2,0.035699999999999996
2,-1,0.0094
2,0,0.0698
2,1,0.0177
2,2,0.035500000000000004
2,3,0.0098
3,-4,0.0048000000000000004
3,-3,0.004200000000000001
3,-2,0.0112
3,-1,0.0060999999999999995
3,0,0.0215
3,1,0.013
3,2,0.0108
3,3,0.0076
