Posición Horizontal,Posición Vertical,Probabilidad
-16,-16,0.001
-16,-15,0.0018
-16,-14,0.0013000000000000002
-16,-13,0.002
-16,-12,0.0009000000000000001
-16,-11,0.0022
-16,-10,0.0015999999999999999
-16,-9,0.0015000000000000002
-16,-8,0.0011
-16,-7,0.0018
-16,-6,0.0017
-16,-5,0.0017000000000000001
-16,-4,0.0018
-16,-3,0.0019999999999999996
-16,-2,0.0022
-16,-1,0.0011
-16,0,0.0016
-16,1,0.0018
-16,2,0.0024
-16,3,0.0025
-16,4,0.001
-16,5,0.0021999999999999997
-16,6,0.0012
-16,7,0.0018000000000000002
-16,8,0.0019
-16,9,0.0021
-16,10,0.002
-16,11,0.0024
-16,12,0.0018
-16,13,0.0021999999999999997
-16,14,0.0024
-16,15,0.0018
-15,-16,0.0006000000000000001
-15,-15,0.001
-15,-14,0.0007
-15,-13,0.0008
-15,-12,0.0009
-15,-11,0.0011
-15,-10,0.0006000000000000001
-15,-9,0.0014
-15,-8,0.0009
-15,-7,0.0011
-15,-6,0.0012
-15,-5,0.001
-15,-4,0.0008
-15,-3,0.0011
-15,-2,0.001
-15,-1,0.0009000000000000001
-15,0,0.0013
-15,1,0.0016
-15,2,0.001
-15,3,0.0009
-15,4,0.0018000000000000002
-15,5,0.0018
-15,6,0.0013
-15,7,0.0007999999999999999
-15,8,0.0017000000000000001
-15,9,0.0013000000000000002
-15,10,0.0014
-15,11,0.0013
-15,12,0.0012000000000000001
-15,13,0.0017
-15,14,0.002
-15,15,0.0013000000000000002
-14,-16,0.0015
-14,-15,0.001
-14,-14,0.0007999999999999999
-14,-13,0.0008
-14,-12,0.001
-14,-11,0.0009
-14,-10,0.0015
-14,-9,0.0012000000000000001
-14,-8,0.0014999999999999998
-14,-7,0.0013
-14,-6,0.0015
-14,-5,0.0011
-14,-4,0.0015
-14,-3,0.0015999999999999999
-14,-2,0.0019
-14,-1,0.0019
-14,0,0.0009
-14,1,0.0016
-14,2,0.0013
-14,3,0.0012000000000000001
-14,4,0.0005
-14,5,0.0012000000000000001
-14,6,0.0012000000000000001
-14,7,0.002
-14,8,0.0016
-14,9,0.0025
-14,10,0.0021
-14,11,0.0024
-14,12,0.0013
-14,13,0.0023
-14,14,0.002
-14,15,0.0018000000000000002
-13,-16,0.0007
-13,-15,0.0007999999999999999
-13,-14,0.0006
-13,-13,0.0013
-13,-12,0.0009000000000000001
-13,-11,0.0009000000000000001
-13,-10,0.0009000000000000001
-13,-9,0.0009000000000000001
-13,-8,0.0008
-13,-7,0.0009
-13,-6,0.0010999999999999998
-13,-5,0.0012000000000000001
-13,-4,0.0015
-13,-3,0.0017
-13,-2,0.0011
-13,-1,0.0011
-13,0,0.0018999999999999998
-13,1,0.0014
-13,2,0.0014000000000000002
-13,3,0.0017000000000000001
-13,4,0.0009
-13,5,0.0008
-13,6,0.0013000000000000002
-13,7,0.0008
-13,8,0.0012
-13,9,0.0018000000000000002
-13,10,0.0016000000000000003
-13,11,0.002
-13,12,0.0011
-13,13,0.0007999999999999999
-13,14,0.0015999999999999999
-13,15,0.0009
-12,-16,0.0001
-12,-15,0.0
-12,-14,0.0
-12,-13,0.0
-12,-12,0.0001
-12,-11,0.0002
-12,-10,0.0001
-12,-9,0.0
-12,-8,0.00030000000000000003
-12,-7,0.00030000000000000003
-12,-6,0.0002
-12,-5,0.0002
-12,-4,0.0001
-12,-3,0.0001
-12,-2,0.0004
-12,-1,0.0001
-12,0,0.0002
-12,1,0.0002
-12,2,0.0
-12,3,0.0001
-12,4,0.0001
-12,5,0.0
-12,6,0.0001
-12,7,0.00030000000000000003
-12,8,0.0002
-12,9,0.00030000000000000003
-12,10,0.0002
-12,11,0.0002
-12,12,0.0
-12,13,0.0001
-12,14,0.0001
-12,15,0.0002
-11,-16,0.0
-11,-15,0.0002
-11,-14,0.0
-11,-13,0.0001
-11,-12,0.0001
-11,-11,0.0001
-11,-10,0.0
-11,-9,0.0001
-11,-8,0.0
-11,-7,0.00030000000000000003
-11,-6,0.0001
-11,-5,0.0001
-11,-4,0.0
-11,-3,0.0001
-11,-2,0.0002
-11,-1,0.0
-11,0,0.0003
-11,1,0.0001
-11,2,0.00030000000000000003
-11,3,0.0
-11,4,0.0001
-11,5,0.0
-11,6,0.0
-11,7,0.0001
-11,8,0.0001
-11,9,0.0001
-11,10,0.0001
-11,11,0.0003
-11,12,0.0001
-11,13,0.0002
-11,14,0.0
-11,15,0.0001
-10,-16,0.0001
-10,-15,0.0002
-10,-14,0.0002
-10,-13,0.0
-10,-12,0.0002
-10,-11,0.0
-10,-10,0.0
-10,-9,0.0
-10,-8,0.0
-10,-7,0.0001
-10,-6,0.0
-10,-5,0.0
-10,-4,0.0002
-10,-3,0.0001
-10,-2,0.0
-10,-1,0.0001
-10,0,0.0001
-10,1,0.0001
-10,2,0.0002
-10,3,0.0002
-10,4,0.0001
-10,5,0.0
-10,6,0.0
-10,7,0.00030000000000000003
-10,8,0.0
-10,9,0.00030000000000000003
-10,10,0.0002
-10,11,0.0
-10,12,0.0
-10,13,0.0
-10,14,0.0001
-10,15,0.0
-9,-16,0.0
-9,-15,0.0001
-9,-14,0.0
-9,-13,0.0
-9,-12,0.0002
-9,-11,0.0001
-9,-10,0.0
-9,-9,0.0001
-9,-8,0.0002
-9,-7,0.00030000000000000003
-9,-6,0.0002
-9,-5,0.0
-9,-4,0.0002
-9,-3,0.0002
-9,-2,0.0
-9,-1,0.0001
-9,0,0.00030000000000000003
-9,1,0.0001
-9,2,0.0002
-9,3,0.0001
-9,4,0.0004
-9,5,0.0
-9,6,0.00030000000000000003
-9,7,0.0002
-9,8,0.0002
-9,9,0.0002
-9,10,0.0001
-9,11,0.0001
-9,12,0.0
-9,13,0.0
-9,14,0.0002
-9,15,0.0
-8,-16,0.0
-8,-15,0.0
-8,-14,0.0
-8,-13,0.0002
-8,-12,0.0
-8,-11,0.0
-8,-10,0.0
-8,-9,0.0001
-8,-8,0.0
-8,-7,0.0
-8,-6,0.0
-8,-5,0.0
-8,-4,0.0001
-8,-3,0.0001
-8,-2,0.0
-8,-1,0.0
-8,0,0.0001
-8,1,0.0
-8,2,0.0001
-8,3,0.0
-8,4,0.0002
-8,5,0.0
-8,6,0.0
-8,7,0.0
-8,8,0.0001
-8,9,0.0
-8,10,0.0002
-8,11,0.0
-8,12,0.0
-8,13,0.0
-8,14,0.0
-8,15,0.0002
-7,-16,0.0
-7,-15,0.0001
-7,-14,0.0
-7,-13,0.0
-7,-12,0.0
-7,-11,0.0
-7,-10,0.0
-7,-9,0.0001
-7,-8,0.0
-7,-7,0.0
-7,-6,0.0001
-7,-5,0.0
-7,-4,0.0001
-7,-3,0.0
-7,-2,0.0
-7,-1,0.0001
-7,0,0.0
-7,1,0.0
-7,2,0.0001
-7,3,0.0
-7,4,0.0001
-7,5,0.0
-7,6,0.0
-7,7,0.0
-7,8,0.0
-7,9,0.0
-7,10,0.0001
-7,11,0.0
-7,12,0.0
-7,13,0.0
-7,14,0.0001
-7,15,0.0
-6,-16,0.0
-6,-15,0.0
-6,-14,0.0
-6,-13,0.0001
-6,-12,0.0001
-6,-11,0.0001
-6,-10,0.0001
-6,-9,0.0
-6,-8,0.0
-6,-7,0.0001
-6,-6,0.0
-6,-5,0.0001
-6,-4,0.0
-6,-3,0.0001
-6,-2,0.0001
-6,-1,0.0
-6,0,0.0
-6,1,0.0
-6,2,0.0
-6,3,0.0001
-6,4,0.0
-6,5,0.0
-6,6,0.0002
-6,7,0.0
-6,8,0.0002
-6,9,0.0002
-6,10,0.0
-6,11,0.0001
-6,12,0.0
-6,13,0.0
-6,14,0.0
-6,15,0.0
-5,-16,0.0002
-5,-15,0.0
-5,-14,0.0
-5,-13,0.0001
-5,-12,0.0001
-5,-11,0.0
-5,-10,0.0
-5,-9,0.0001
-5,-8,0.0
-5,-7,0.0001
-5,-6,0.0
-5,-5,0.0
-5,-4,0.0
-5,-3,0.0
-5,-2,0.0001
-5,-1,0.0002
-5,0,0.0
-5,1,0.0
-5,2,0.0
-5,3,0.0001
-5,4,0.0
-5,5,0.0001
-5,6,0.0
-5,7,0.0
-5,8,0.0
-5,9,0.0001
-5,10,0.0
-5,11,0.0001
-5,12,0.0
-5,13,0.0001
-5,14,0.0
-5,15,0.0
-4,-16,0.0
-4,-15,0.0
-4,-14,0.0001
-4,-13,0.0
-4,-12,0.0
-4,-11,0.0
