Posición Horizontal,Posición Vertical,Probabilidad
-8,-8,0.0063999999999999994
-8,-7,0.006500000000000001
-8,-6,0.0051
-8,-5,0.0055
-8,-4,0.005999999999999999
-8,-3,0.0048000000000000004
-8,-2,0.006
-8,-1,0.0064
-8,0,0.0068000000000000005
-8,1,0.0070999999999999995
-8,2,0.0078
-8,3,0.0071
-8,4,0.007
-8,5,0.0084
-8,6,0.0088
-8,7,0.007699999999999999
-7,-8,0.0055
-7,-7,0.0044
-7,-6,0.0039000000000000003
-7,-5,0.0057
-7,-4,0.004999999999999999
-7,-3,0.0051
-7,-2,0.0040999999999999995
-7,-1,0.0046
-7,0,0.0056
-7,1,0.0054
-7,2,0.0055
-7,3,0.006200000000000001
-7,4,0.0055
-7,5,0.0053
-7,6,0.0058
-7,7,0.007
-6,-8,0.0098
-6,-7,0.0109
-6,-6,0.0118
-6,-5,0.0131
-6,-4,0.0102
-6,-3,0.0103
-6,-2,0.0101
-6,-1,0.009600000000000001
-6,0,0.0101
-6,1,0.010499999999999999
-6,2,0.0113
-6,3,0.010599999999999998
-6,4,0.012499999999999997
-6,5,0.0125
-6,6,0.013099999999999999
-6,7,0.010599999999999998
-5,-8,0.007399999999999999
-5,-7,0.0046
-5,-6,0.007500000000000001
-5,-5,0.008
-5,-4,0.0068000000000000005
-5,-3,0.0065
-5,-2,0.007
-5,-1,0.0066
-5,0,0.0068
-5,1,0.0087
-5,2,0.0082
-5,3,0.0087
-5,4,0.0101
-5,5,0.0079
-5,6,0.009300000000000001
-5,7,0.0067
-4,-8,0.0023
-4,-7,0.0031000000000000003
-4,-6,0.0023
-4,-5,0.002
-4,-4,0.0031
-4,-3,0.0031
-4,-2,0.0037
-4,-1,0.0026
-4,0,0.0031000000000000003
-4,1,0.0037999999999999996
-4,2,0.0033
-4,3,0.0031000000000000003
-4,4,0.004699999999999999
-4,5,0.004
-4,6,0.0036
-4,7,0.0036999999999999997
-3,-8,0.0013
-3,-7,0.0009
-3,-6,0.0015999999999999999
-3,-5,0.0019
-3,-4,0.0013
-3,-3,0.002
-3,-2,0.0021
-3,-1,0.0017
-3,0,0.002
-3,1,0.0022
-3,2,0.0016
-3,3,0.0021000000000000003
-3,4,0.0026999999999999997
-3,5,0.0018
-3,6,0.0033000000000000004
-3,7,0.0022999999999999995
-2,-8,0.0048000000000000004
-2,-7,0.0041
-2,-6,0.0036
-2,-5,0.0044
-2,-4,0.0038
-2,-3,0.004
-2,-2,0.0037
-2,-1,0.0037
-2,0,0.0041
-2,1,0.006199999999999999
-2,2,0.006500000000000001
-2,3,0.005200000000000001
-2,4,0.004999999999999999
-2,5,0.0053
-2,6,0.0058
-2,7,0.0058
-1,-8,0.0019
-1,-7,0.002
-1,-6,0.0029000000000000002
-1,-5,0.0029
