Posición Horizontal,Posición Vertical,Probabilidad
-8,-8,0.0025
-8,-7,0.0025
-8,-6,0.0027999999999999995
-8,-5,0.0021
-8,-4,0.0033
-8,-3,0.0039
-8,-2,0.0034999999999999996
-8,-1,0.0034999999999999996
-8,0,0.0037
-8,1,0.0039000000000000007
-8,2,0.0049
-8,3,0.0041
-8,4,0.004
-8,5,0.0037
-8,6,0.0052
-8,7,0.003999999999999999
-7,-8,0.0021
-7,-7,0.0021000000000000003
-7,-6,0.0021999999999999997
-7,-5,0.0021
-7,-4,0.003
-7,-3,0.0028
-7,-2,0.0021
-7,-1,0.0018
-7,0,0.0023
-7,1,0.0029
-7,2,0.0033
-7,3,0.0024
-7,4,0.0030999999999999995
-7,5,0.0023
-7,6,0.0039
-7,7,0.0022
-6,-8,0.0027999999999999995
-6,-7,0.0026
-6,-6,0.003
-6,-5,0.0021999999999999997
-6,-4,0.004
-6,-3,0.0025
-6,-2,0.0033
-6,-1,0.0031999999999999997
-6,0,0.004999999999999999
-6,1,0.004
-6,2,0.004399999999999999
-6,3,0.0039
-6,4,0.005299999999999999
-6,5,0.0045
-6,6,0.0039000000000000003
-6,7,0.0034000000000000002
-5,-8,0.0027
-5,-7,0.002
-5,-6,0.0023
-5,-5,0.0012000000000000001
-5,-4,0.0031999999999999997
-5,-3,0.0028
-5,-2,0.0032
-5,-1,0.0023
-5,0,0.003
-5,1,0.0025
-5,2,0.0034000000000000002
-5,3,0.0022
-5,4,0.0038000000000000004
-5,5,0.0035
-5,6,0.0033
-5,7,0.0026999999999999997
-4,-8,0.0062
-4,-7,0.0041
-4,-6,0.0046
-4,-5,0.0032
-4,-4,0.0051
-4,-3,0.0037999999999999996
-4,-2,0.0063
-4,-1,0.0041
-4,0,0.006999999999999999
-4,1,0.0056
-4,2,0.0071
-4,3,0.0063
-4,4,0.0083
-4,5,0.005
-4,6,0.006499999999999999
-4,7,0.0046
-3,-8,0.003
-3,-7,0.0039000000000000003
-3,-6,0.0037999999999999996
-3,-5,0.002
-3,-4,0.0034
-3,-3,0.0014
-3,-2,0.005
-3,-1,0.0033000000000000004
-3,0,0.004699999999999999
-3,1,0.004200000000000001
-3,2,0.0043
-3,3,0.004399999999999999
-3,4,0.0046
-3,5,0.0037
-3,6,0.0042
-3,7,0.0032999999999999995
-2,-8,0.0053
-2,-7,0.0033
-2,-6,0.0036999999999999993
-2,-5,0.0022999999999999995
-2,-4,0.0044
-2,-3,0.0033
-2,-2,0.0059
-2,-1,0.0046
-2,0,0.0054
-2,1,0.004999999999999999
-2,2,0.0077
-2,3,0.0051
-2,4,0.0071
-2,5,0.005300000000000001
-2,6,0.0050999999999999995
-2,7,0.0036
-1,-8,0.0048000000000000004
-1,-7,0.0021
-1,-6,0.003
-1,-5,0.0033
-1,-4,0.0036000000000000003
-1,-3,0.0022
-1,-2,0.0028
-1,-1,0.0027
-1,0,0.0031000000000000003
-1,1,0.0035999999999999995
-1,2,0.0065
-1,3,0.0027
-1,4,0.0046
-1,5,0.0026
-1,6,0.0032
-1,7,0.0022
0,-8,0.005
0,-7,0.0036
0,-6,0.0042
0,-5,0.0022
0,-4,0.0035000000000000005
0,-3,0.004699999999999999
0,-2,0.005600000000000001
0,-1,0.0051
0,0,0.0066
0,1,0.0042
0,2,0.006200000000000001
0,3,0.004
0,4,0.006599999999999999
0,5,0.0045000000000000005
0,6,0.0050999999999999995
0,7,0.0044
1,-8,0.0031999999999999997
1,-7,0.0027
1,-6,0.0033
1,-5,0.0031999999999999997
1,-4,0.0035
1,-3,0.0024999999999999996
1,-2,0.0042
1,-1,0.003
1,0,0.004
1,1,0.0034000000000000002
1,2,0.0048000000000000004
1,3,0.0031
1,4,0.0051
1,5,0.004
1,6,0.0034
1,7,0.0031
2,-8,0.0046
2,-7,0.0033
2,-6,0.0026
2,-5,0.0037
2,-4,0.0055
2,-3,0.0038
2,-2,0.005600000000000001
2,-1,0.0038
2,0,0.0076
2,1,0.0056
2,2,0.0076
2,3,0.005899999999999999
2,4,0.0074
2,5,0.0052
2,6,0.0048000000000000004
2,7,0.0051
3,-8,0.0029999999999999996
3,-7,0.0026
3,-6,0.0035
3,-5,0.0024000000000000002
3,-4,0.0037
3,-3,0.0023
3,-2,0.0034000000000000002
3,-1,0.0023
3,0,0.0052
3,1,0.0026999999999999997
3,2,0.0043
3,3,0.0034
3,4,0.0039
3,5,0.0031999999999999997
3,6,0.0047
3,7,0.0034000000000000002
4,-8,0.0052
4,-7,0.0031000000000000003
4,-6,0.0046
4,-5,0.0030000000000000005
4,-4,0.0064
4,-3,0.0045
4,-2,0.0074
4,-1,0.0041
4,0,0.008
4,1,0.0057
4,2,0.0084
4,3,0.0048000000000000004
4,4,0.0084
4,5,0.0055
4,6,0.0056
4,7,0.0045
5,-8,0.0049
5,-7,0.0032
5,-6,0.0034999999999999996
5,-5,0.0026
5,-4,0.0039000000000000003
5,-3,0.0028
5,-2,0.0048000000000000004
5,-1,0.0036
5,0,0.005
5,1,0.004
5,2,0.0036
5,3,0.0024000000000000002
5,4,0.006
5,5,0.0035
5,6,0.0041
5,7,0.0027
6,-8,0.0023
6,-7,0.0021000000000000003
6,-6,0.0025
6,-5,0.0034
6,-4,0.0028
6,-3,0.0034000000000000002
6,-2,0.0031000000000000003
6,-1,0.0037999999999999996
6,0,0.0040999999999999995
6,1,0.004399999999999999
6,2,0.0048000000000000004
6,3,0.0049
6,4,0.0059
6,5,0.0038
6,6,0.0062
6,7,0.0034000000000000002
7,-8,0.002
