Posición Horizontal,Posición Vertical,Probabilidad
-4,-4,0.0021
-4,-3,0.002
-4,-2,0.007299999999999999
-4,-1,0.0058
-4,0,0.0163
-4,1,0.0128
-4,2,0.0115
-4,3,0.006
-3,-4,0.0005
-3,-3,0.0009
-3,-2,0.0034
-3,-1,0.0022999999999999995
-3,0,0.0049
-3,1,0.0042
-3,2,0.0032
-3,3,0.0023000000000000004
-2,-4,0.0122
-2,-3,0.005600000000000001
-2,-2,0.0346
-2,-1,0.0119
-2,0,0.07010000000000001
-2,1,0.015700000000000002
-2,2,0.042
-2,3,0.0105
-1,-4,0.0008
-1,-3,0.0010999999999999998
-1,-2,0.0049
-1,-1,0.0022
-1,0,0.010400000000000001
-1,1,0.0036000000000000003
-1,2,0.0064
-1,3,0.0024000000000000002
0,-4,0.0232
0,-3,0.0081
0,-2,0.07039999999999999
0,-1,0.0128
0,0,0.1389
0,1,0.0212
0,2,0.0775
0,3,0.015600000000000003
1,-4,0.0023
1,-3,0.0012000000000000001
1,-2,0.0067
1,-1,0.0022
1,0,0.0108
1,1,0.0065
1,2,0.0087
1,3,0.0029
2,-4,0.0114
2,-3,0.005
2,-2,0.043800000000000006
2,-1,0.0129
2,0,0.0821
2,1,0.0209
2,2,0.049699999999999994
2,3,0.0132
3,-4,0.0015999999999999999
3,-3,0.0011
3,-2,0.0034999999999999996
3,-1,0.0025
3,0,0.0094
3,1,0.0049
3,2,0.0059
3,3,0.0031999999999999997
