Posición Horizontal,Posición Vertical,Probabilidad
-16,-16,0.0008
-16,-15,0.0013
-16,-14,0.0012000000000000001
-16,-13,0.0011
-16,-12,0.0007999999999999999
-16,-11,0.0012000000000000001
-16,-10,0.001
-16,-9,0.0007
-16,-8,0.0009
-16,-7,0.0009
-16,-6,0.001
-16,-5,0.0009
-16,-4,0.001
-16,-3,0.0006000000000000001
-16,-2,0.0009
-16,-1,0.0012000000000000001
-16,0,0.0011
-16,1,0.0008
-16,2,0.0009
-16,3,0.0009000000000000001
-16,4,0.0006000000000000001
-16,5,0.0017999999999999997
-16,6,0.0010999999999999998
-16,7,0.0012000000000000001
-16,8,0.0013
-16,9,0.001
-16,10,0.0013
-16,11,0.0011
-16,12,0.0018
-16,13,0.0011
-16,14,0.0009
-16,15,0.0007999999999999999
-15,-16,0.001
-15,-15,0.0006000000000000001
-15,-14,0.0011
-15,-13,0.0009
-15,-12,0.001
-15,-11,0.0005
-15,-10,0.0005
-15,-9,0.0016
-15,-8,0.0003
-15,-7,0.0011
-15,-6,0.0007999999999999999
-15,-5,0.0008
-15,-4,0.0009
-15,-3,0.0009000000000000001
-15,-2,0.00030000000000000003
-15,-1,0.0009
-15,0,0.0008
-15,1,0.0011
-15,2,0.0011
-15,3,0.0011
-15,4,0.0007
-15,5,0.0009
-15,6,0.0005
-15,7,0.0015
-15,8,0.001
-15,9,0.0014
-15,10,0.0007
-15,11,0.0011
-15,12,0.0006000000000000001
-15,13,0.0009
-15,14,0.00039999999999999996
-15,15,0.0004
-14,-16,0.0007000000000000001
-14,-15,0.0009
-14,-14,0.0005
-14,-13,0.0005
-14,-12,0.0011
-14,-11,0.0008
-14,-10,0.0011
-14,-9,0.001
-14,-8,0.0009
-14,-7,0.0007000000000000001
-14,-6,0.001
-14,-5,0.0008
-14,-4,0.0009
-14,-3,0.0008
-14,-2,0.0006000000000000001
-14,-1,0.0008
-14,0,0.0009
-14,1,0.0013000000000000002
-14,2,0.0011
-14,3,0.0009999999999999998
-14,4,0.0013
-14,5,0.0006000000000000001
-14,6,0.0009
-14,7,0.0011
-14,8,0.0013999999999999998
-14,9,0.0017999999999999997
-14,10,0.0009
-14,11,0.0005
-14,12,0.0007
-14,13,0.0009
-14,14,0.0013
-14,15,0.0015
-13,-16,0.0009
-13,-15,0.0005
-13,-14,0.0011
-13,-13,0.0005
-13,-12,0.0011
-13,-11,0.0004
-13,-10,0.001
-13,-9,0.0011
-13,-8,0.0012000000000000001
-13,-7,0.0007000000000000001
-13,-6,0.0008
-13,-5,0.00039999999999999996
-13,-4,0.001
-13,-3,0.0005
-13,-2,0.0011
-13,-1,0.0004
-13,0,0.0010999999999999998
-13,1,0.0007000000000000001
-13,2,0.0007000000000000001
-13,3,0.0012
-13,4,0.0015
-13,5,0.0005
-13,6,0.0013999999999999998
-13,7,0.00030000000000000003
-13,8,0.0006000000000000001
-13,9,0.0009
-13,10,0.0007
-13,11,0.0008
-13,12,0.0007
-13,13,0.0013000000000000002
-13,14,0.001
-13,15,0.0011
-12,-16,0.0006000000000000001
-12,-15,0.0007
-12,-14,0.0008999999999999999
-12,-13,0.0011
-12,-12,0.0014
-12,-11,0.0016
-12,-10,0.0015
-12,-9,0.0008999999999999999
-12,-8,0.0008
-12,-7,0.001
-12,-6,0.0008
-12,-5,0.0013000000000000002
-12,-4,0.0008000000000000001
-12,-3,0.0007999999999999999
-12,-2,0.0015999999999999999
-12,-1,0.001
-12,0,0.0009999999999999998
-12,1,0.0006000000000000001
-12,2,0.0017000000000000001
-12,3,0.001
-12,4,0.0014000000000000002
-12,5,0.0008
-12,6,0.0009000000000000001
-12,7,0.0009
-12,8,0.001
-12,9,0.0006000000000000001
-12,10,0.001
-12,11,0.0015
-12,12,0.0013
-12,13,0.0009
-12,14,0.0012000000000000001
-12,15,0.0009
-11,-16,0.0011
-11,-15,0.0016
-11,-14,0.0007000000000000001
-11,-13,0.001
-11,-12,0.0010999999999999998
-11,-11,0.0009
-11,-10,0.0011
-11,-9,0.0009
-11,-8,0.0009000000000000001
-11,-7,0.001
-11,-6,0.0012000000000000001
-11,-5,0.0007000000000000001
-11,-4,0.0006000000000000001
-11,-3,0.0005
-11,-2,0.0008
-11,-1,0.0012
-11,0,0.0007
-11,1,0.001
-11,2,0.0012
-11,3,0.0009
-11,4,0.0006000000000000001
-11,5,0.001
-11,6,0.0015999999999999999
-11,7,0.0009
-11,8,0.0009
-11,9,0.0006000000000000001
-11,10,0.0008
-11,11,0.0008
-11,12,0.0008000000000000001
-11,13,0.001
-11,14,0.0013
-11,15,0.0006000000000000001
-10,-16,0.0012000000000000001
-10,-15,0.0016999999999999997
-10,-14,0.0011
-10,-13,0.0011
-10,-12,0.0007
-10,-11,0.0006000000000000001
-10,-10,0.0009
-10,-9,0.001
-10,-8,0.001
-10,-7,0.00039999999999999996
-10,-6,0.001
-10,-5,0.001
-10,-4,0.00030000000000000003
-10,-3,0.0013
-10,-2,0.001
-10,-1,0.0007999999999999999
-10,0,0.0007000000000000001
-10,1,0.002
-10,2,0.0011
-10,3,0.0014
-10,4,0.0011
-10,5,0.0008000000000000001
-10,6,0.0015
-10,7,0.0012000000000000001
-10,8,0.0011
-10,9,0.0012
-10,10,0.0017000000000000001
-10,11,0.0013999999999999998
-10,12,0.0012000000000000001
-10,13,0.0007
-10,14,0.0006
-10,15,0.001
-9,-16,0.0015
-9,-15,0.0007000000000000001
-9,-14,0.0014000000000000002
-9,-13,0.0012
-9,-12,0.0007
-9,-11,0.0006000000000000001
-9,-10,0.0009
-9,-9,0.0011
-9,-8,0.0012000000000000001
-9,-7,0.0007999999999999999
-9,-6,0.0011
-9,-5,0.0011
-9,-4,0.0009
-9,-3,0.0007000000000000001
-9,-2,0.00039999999999999996
-9,-1,0.0009
-9,0,0.0004
-9,1,0.0011
-9,2,0.0009999999999999998
-9,3,0.0009
-9,4,0.0006000000000000001
-9,5,0.0008
-9,6,0.0014
-9,7,0.0008000000000000001
-9,8,0.0011
-9,9,0.0012
-9,10,0.0019
-9,11,0.0008
-9,12,0.001
-9,13,0.0013
-9,14,0.0011
-9,15,0.0016
-8,-16,0.0006000000000000001
-8,-15,0.0008000000000000001
-8,-14,0.0014000000000000002
-8,-13,0.0008
-8,-12,0.001
-8,-11,0.0009
-8,-10,0.0008
-8,-9,0.0013
-8,-8,0.001
-8,-7,0.0015999999999999999
-8,-6,0.0011
-8,-5,0.001
-8,-4,0.0012
-8,-3,0.0008
-8,-2,0.0016
-8,-1,0.0013999999999999998
-8,0,0.001
-8,1,0.0005
-8,2,0.0007
-8,3,0.0015999999999999999
-8,4,0.0007
-8,5,0.0013000000000000002
-8,6,0.001
-8,7,0.0015
-8,8,0.001
-8,9,0.0013000000000000002
-8,10,0.0013000000000000002
-8,11,0.001
-8,12,0.0009
-8,13,0.001
-8,14,0.0015
-8,15,0.0011
-7,-16,0.001
-7,-15,0.0009
-7,-14,0.0010999999999999998
-7,-13,0.0006000000000000001
-7,-12,0.0005
-7,-11,0.0006000000000000001
-7,-10,0.0008
-7,-9,0.0005
-7,-8,0.0006000000000000001
-7,-7,0.001
-7,-6,0.0002
-7,-5,0.0009
-7,-4,0.0006000000000000001
-7,-3,0.0012000000000000001
-7,-2,0.0012000000000000001
-7,-1,0.0007000000000000001
-7,0,0.0006000000000000001
-7,1,0.0013
-7,2,0.0014
-7,3,0.001
-7,4,0.001
-7,5,0.0009
-7,6,0.0013000000000000002
-7,7,0.0011
-7,8,0.0007999999999999999
-7,9,0.0007999999999999999
-7,10,0.0015
-7,11,0.0006000000000000001
-7,12,0.0010999999999999998
-7,13,0.001
-7,14,0.0014
-7,15,0.0007
-6,-16,0.0007
-6,-15,0.0015999999999999999
-6,-14,0.0012
-6,-13,0.001
-6,-12,0.001
-6,-11,0.0009
-6,-10,0.0005
-6,-9,0.0007999999999999999
-6,-8,0.001
-6,-7,0.0006
-6,-6,0.0007
-6,-5,0.001
-6,-4,0.0009
-6,-3,0.0013000000000000002
-6,-2,0.0009
-6,-1,0.0014
-6,0,0.001
-6,1,0.0011
-6,2,0.0009000000000000001
-6,3,0.0014
-6,4,0.0010999999999999998
-6,5,0.0006999999999999999
-6,6,0.0013
-6,7,0.0011
-6,8,0.0006000000000000001
-6,9,0.0019
-6,10,0.0011
-6,11,0.001
-6,12,0.0015999999999999999
-6,13,0.0007
-6,14,0.001
-6,15,0.0010999999999999998
-5,-16,0.001
-5,-15,0.0009
-5,-14,0.0007999999999999999
-5,-13,0.0007000000000000001
-5,-12,0.0011
-5,-11,0.0013
-5,-10,0.0009
-5,-9,0.0007000000000000001
-5,-8,0.0009
-5,-7,0.0007
-5,-6,0.0007
-5,-5,0.0009
-5,-4,0.001
-5,-3,0.0006
-5,-2,0.0012
-5,-1,0.0005
-5,0,0.00030000000000000003
-5,1,0.0008
-5,2,0.0009
-5,3,0.0008
-5,4,0.0009
-5,5,0.0012
-5,6,0.0012000000000000001
-5,7,0.0005
-5,8,0.0013000000000000002
-5,9,0.0009
-5,10,0.0008
-5,11,0.0007000000000000001
-5,12,0.001
-5,13,0.0012000000000000001
-5,14,0.0009
-5,15,0.0013
-4,-16,0.0009
-4,-15,0.0008
-4,-14,0.0006000000000000001
-4,-13,0.0021999999999999997
-4,-12,0.0011
-4,-11,0.0009
-4,-10,0.0014
-4,-9,0.001
-4,-8,0.0003
-4,-7,0.0011
-4,-6,0.0011
-4,-5,0.001
-4,-4,0.0015
-4,-3,0.0006000000000000001
-4,-2,0.0005
-4,-1,0.0009
-4,0,0.0015
-4,1,0.0013
-4,2,0.001
-4,3,0.0009999999999999998
-4,4,0.0014
-4,5,0.0008
-4,6,0.0014
-4,7,0.0007999999999999999
-4,8,0.0011
-4,9,0.0015
-4,10,0.0007
-4,11,0.0008
-4,12,0.001
-4,13,0.0008
-4,14,0.0007999999999999999
-4,15,0.0012
-3,-16,0.001
-3,-15,0.0007
-3,-14,0.0014
-3,-13,0.001
-3,-12,0.0007000000000000001
-3,-11,0.0005
-3,-10,0.0008
-3,-9,0.00030000000000000003
-3,-8,0.001
-3,-7,0.0005
-3,-6,0.0013
-3,-5,0.0011
-3,-4,0.001
-3,-3,0.0007999999999999999
-3,-2,0.0013
-3,-1,0.0012000000000000001
-3,0,0.0014000000000000002
-3,1,0.001
-3,2,0.0012000000000000001
-3,3,0.001
-3,4,0.0006000000000000001
-3,5,0.0011
-3,6,0.001
-3,7,0.0008999999999999999
-3,8,0.0012
-3,9,0.0011
-3,10,0.0009000000000000001
-3,11,0.0005
-3,12,0.0013
-3,13,0.0013
-3,14,0.0004
-3,15,0.0013
-2,-16,0.0010999999999999998
-2,-15,0.0005
-2,-14,0.0012000000000000001
-2,-13,0.0012000000000000001
-2,-12,0.0007
-2,-11,0.0012000000000000001
-2,-10,0.0008000000000000001
-2,-9,0.0007
-2,-8,0.001
-2,-7,0.0011
-2,-6,0.001
-2,-5,0.0013
-2,-4,0.0007
-2,-3,0.0013
-2,-2,0.0011
-2,-1,0.0009
-2,0,0.0012
-2,1,0.001
-2,2,0.001
-2,3,0.0016
-2,4,0.0012000000000000001
-2,5,0.0009
-2,6,0.0007
-2,7,0.0007999999999999999
-2,8,0.0011
-2,9,0.001
-2,10,0.0013000000000000002
-2,11,0.0011
-2,12,0.001
-2,13,0.0011
-2,14,0.0013
-2,15,0.0009
-1,-16,0.0008
-1,-15,0.0007999999999999999
-1,-14,0.0012
-1,-13,0.0006000000000000001
-1,-12,0.0009000000000000001
-1,-11,0.0013999999999999998
-1,-10,0.0012000000000000001
-1,-9,0.0012000000000000001
-1,-8,0.0007
-1,-7,0.0009
-1,-6,0.001
-1,-5,0.0010999999999999998
-1,-4,0.0007
-1,-3,0.0011
-1,-2,0.0007999999999999999
-1,-1,0.0009000000000000001
-1,0,0.0008
-1,1,0.0006
-1,2,0.0006000000000000001
-1,3,0.0009000000000000001
-1,4,0.001
-1,5,0.0008000000000000001
-1,6,0.001
-1,7,0.0012000000000000001
-1,8,0.001
-1,9,0.0002
-1,10,0.0009000000000000001
-1,11,0.0013
-1,12,0.0015
-1,13,0.001
-1,14,0.0004
-1,15,0.0006000000000000001
0,-16,0.0010999999999999998
0,-15,0.0007000000000000001
0,-14,0.0009000000000000001
0,-13,0.00030000000000000003
0,-12,0.0007000000000000001
0,-11,0.0012
0,-10,0.0009
0,-9,0.0006000000000000001
0,-8,0.0006
0,-7,0.0007
0,-6,0.0009000000000000001
0,-5,0.0007999999999999999
0,-4,0.0004
0,-3,0.0007999999999999999
0,-2,0.0014
0,-1,0.0007000000000000001
0,0,0.0013000000000000002
0,1,0.001
0,2,0.0007999999999999999
0,3,0.001
0,4,0.0007
0,5,0.0012000000000000001
0,6,0.001
0,7,0.001
0,8,0.001
0,9,0.0012000000000000001
0,10,0.0014
0,11,0.001
0,12,0.0011
0,13,0.0011
0,14,0.0013
0,15,0.0007
1,-16,0.0005
1,-15,0.0017
1,-14,0.0011
1,-13,0.001
1,-12,0.0008
1,-11,0.0012
1,-10,0.0006000000000000001
1,-9,0.0012000000000000001
1,-8,0.0014
1,-7,0.001
1,-6,0.001
1,-5,0.0007000000000000001
1,-4,0.0014
1,-3,0.001
1,-2,0.0009
1,-1,0.0013
1,0,0.0005
1,1,0.001
1,2,0.0004
1,3,0.0015999999999999999
1,4,0.0011
1,5,0.0014
1,6,0.0010999999999999998
1,7,0.0014000000000000002
1,8,0.0007000000000000001
1,9,0.001
1,10,0.0007
1,11,0.0009
1,12,0.0010999999999999998
1,13,0.0009
1,14,0.0012000000000000001
1,15,0.0008
2,-16,0.001
2,-15,0.0007999999999999999
2,-14,0.0011
2,-13,0.0009
2,-12,0.0009
2,-11,0.0009
2,-10,0.0009
2,-9,0.0011
2,-8,0.0008
2,-7,0.0007
2,-6,0.0012
2,-5,0.0007
2,-4,0.0012000000000000001
2,-3,0.0008999999999999999
2,-2,0.0009
2,-1,0.0014
2,0,0.0011
2,1,0.0013
2,2,0.0014
2,3,0.0012000000000000001
2,4,0.0013
2,5,0.0009
2,6,0.0011
2,7,0.001
2,8,0.0012000000000000001
2,9,0.0009
2,10,0.0012000000000000001
2,11,0.0009000000000000001
2,12,0.0012000000000000001
2,13,0.0006999999999999999
2,14,0.0008
2,15,0.0011
3,-16,0.0014
3,-15,0.0018
3,-14,0.0009000000000000001
3,-13,0.0004
3,-12,0.0008
3,-11,0.0008000000000000001
3,-10,0.0011
3,-9,0.0006000000000000001
3,-8,0.0006000000000000001
3,-7,0.0009
3,-6,0.001
3,-5,0.0008
3,-4,0.0012000000000000001
3,-3,0.0011
3,-2,0.0013
3,-1,0.0008
3,0,0.0013
3,1,0.0012000000000000001
3,2,0.0012
3,3,0.0008000000000000001
3,4,0.0011
3,5,0.0012
3,6,0.0006000000000000001
3,7,0.0006000000000000001
3,8,0.001
3,9,0.0009
3,10,0.0009
3,11,0.0007000000000000001
3,12,0.0013
3,13,0.0007999999999999999
3,14,0.0009000000000000001
3,15,0.0008
4,-16,0.0012000000000000001
4,-15,0.0005
4,-14,0.0013
4,-13,0.0007
4,-12,0.0008
4,-11,0.0015
4,-10,0.0011
4,-9,0.0015
4,-8,0.0007999999999999999
4,-7,0.001
4,-6,0.00030000000000000003
4,-5,0.0011
