Posición Horizontal,Posición Vertical,Probabilidad
-16,-16,7.711063990768485e-63
-16,-15,0.0
-16,-14,2.9993658550291377e-62
-16,-13,0.0
-16,-12,2.160017885099638e-62
-16,-11,0.0
-16,-10,5.236184278164398e-35
-16,-9,0.0
-16,-8,3.163763814527008e-33
-16,-7,0.0
-16,-6,5.7499712269583655e-33
-16,-5,0.0
-16,-4,1.7845789670613822e-32
-16,-3,0.0
-16,-2,6.421133062302976e-33
-16,-1,0.0
-16,0,9.115928609891826e-33
-16,1,0.0
-16,2,7.141301710259896e-33
-16,3,0.0
-16,4,1.0078642909229795e-32
-16,5,0.0
-16,6,2.80526064642291e-33
-16,7,0.0
-16,8,9.269802001363828e-34
-16,9,0.0
-16,10,7.018322995102197e-35
-16,11,0.0
-16,12,2.72013289379e-62
-16,13,0.0
-16,14,1.353359530009175e-62
-16,15,0.0
-15,-16,0.0
-15,-15,0.0
-15,-14,0.0
-15,-13,0.0
-15,-12,0.0
-15,-11,0.0
-15,-10,0.0
-15,-9,0.0
-15,-8,0.0
-15,-7,0.0
-15,-6,0.0
-15,-5,0.0
-15,-4,0.0
-15,-3,0.0
-15,-2,0.0
-15,-1,0.0
-15,0,0.0
-15,1,0.0
-15,2,0.0
-15,3,0.0
-15,4,0.0
-15,5,0.0
-15,6,0.0
-15,7,0.0
-15,8,0.0
-15,9,0.0
-15,10,0.0
-15,11,0.0
-15,12,0.0
-15,13,0.0
-15,14,0.0
-15,15,0.0
-14,-16,1.6585473553851436e-62
-14,-15,0.0
-14,-14,3.4088375035100986e-63
-14,-13,0.0
-14,-12,1.138446457504514e-62
-14,-11,0.0
-14,-10,2.1762727720972226e-34
-14,-9,0.0
-14,-8,1.2027625575446818e-32
-14,-7,0.0
-14,-6,9.13129365809256e-33
-14,-5,0.0
-14,-4,1.3738164299977406e-32
-14,-3,0.0
-14,-2,1.895608859648844e-32
-14,-1,0.0
-14,0,1.7525389035065393e-32
-14,1,0.0
-14,2,1.3695360325208283e-32
-14,3,0.0
-14,4,1.0773666286417913e-32
-14,5,0.0
-14,6,2.3262255083910598e-32
-14,7,0.0
-14,8,4.7532614126955596e-33
-14,9,0.0
-14,10,1.9703052086989108e-35
-14,11,0.0
-14,12,2.6159791442645415e-62
-14,13,0.0
-14,14,1.8904114357231106e-62
-14,15,0.0
-13,-16,0.0
-13,-15,0.0
-13,-14,0.0
-13,-13,0.0
-13,-12,0.0
-13,-11,0.0
-13,-10,0.0
-13,-9,0.0
-13,-8,0.0
-13,-7,0.0
-13,-6,0.0
-13,-5,0.0
-13,-4,0.0
-13,-3,0.0
-13,-2,0.0
-13,-1,0.0
-13,0,0.0
-13,1,0.0
-13,2,0.0
-13,3,0.0
-13,4,0.0
-13,5,0.0
-13,6,0.0
-13,7,0.0
-13,8,0.0
-13,9,0.0
-13,10,0.0
-13,11,0.0
-13,12,0.0
-13,13,0.0
-13,14,0.0
-13,15,0.0
-12,-16,7.796778144499098e-63
-12,-15,0.0
-12,-14,1.1546246079535995e-62
-12,-13,0.0
-12,-12,2.094559160678183e-62
-12,-11,0.0
-12,-10,2.5270408720347924e-34
-12,-9,0.0
-12,-8,1.1503118921964629e-32
-12,-7,0.0
-12,-6,4.5580801160007133e-32
-12,-5,0.0
-12,-4,1.9186975851309548e-32
-12,-3,0.0
-12,-2,1.3981206252588512e-32
-12,-1,0.0
-12,0,1.7219588274852843e-32
-12,1,0.0
-12,2,1.5436831547577596e-32
-12,3,0.0
-12,4,9.794634470368221e-33
-12,5,0.0
-12,6,6.62619619552334e-33
-12,7,0.0
-12,8,1.9397948591755975e-33
-12,9,0.0
-12,10,1.2948850867900955e-35
-12,11,0.0
-12,12,1.4460752008790955e-62
-12,13,0.0
-12,14,2.3448268166098033e-62
-12,15,0.0
-11,-16,0.0
-11,-15,0.0
-11,-14,0.0
-11,-13,0.0
-11,-12,0.0
-11,-11,0.0
-11,-10,0.0
-11,-9,0.0
-11,-8,0.0
-11,-7,0.0
-11,-6,0.0
-11,-5,0.0
-11,-4,0.0
-11,-3,0.0
-11,-2,0.0
-11,-1,0.0
-11,0,0.0
-11,1,0.0
-11,2,0.0
-11,3,0.0
-11,4,0.0
-11,5,0.0
-11,6,0.0
-11,7,0.0
-11,8,0.0
-11,9,0.0
-11,10,0.0
-11,11,0.0
-11,12,0.0
-11,13,0.0
-11,14,0.0
-11,15,0.0
-10,-16,3.576677549541976e-35
-10,-15,0.0
-10,-14,8.283936223014799e-35
-10,-13,0.0
-10,-12,3.026404181337766e-35
-10,-11,0.0
-10,-10,9.536743164061344e-07
-10,-9,0.0
-10,-8,6.29425048828054e-05
-10,-7,0.0
-10,-6,0.0002565383911132563
-10,-5,0.0
-10,-4,6.10351562499944e-05
-10,-3,0.0
-10,-2,7.247924804686721e-05
-10,-1,0.0
-10,0,6.866455078124013e-05
-10,1,0.0
-10,2,7.247924804686595e-05
-10,3,0.0
-10,4,6.103515624999313e-05
-10,5,0.0
-10,6,0.00025653839111325496
-10,7,0.0
-10,8,6.294250488280587e-05
-10,9,0.0
-10,10,9.53674316406131e-07
-10,11,0.0
-10,12,1.698693658767608e-34
-10,13,0.0
-10,14,7.286883506732343e-35
-10,15,0.0
-9,-16,0.0
-9,-15,0.0
-9,-14,0.0
-9,-13,0.0
-9,-12,0.0
-9,-11,0.0
-9,-10,0.0
-9,-9,0.0
-9,-8,0.0
-9,-7,0.0
-9,-6,0.0
-9,-5,0.0
-9,-4,0.0
-9,-3,0.0
-9,-2,0.0
-9,-1,0.0
-9,0,0.0
-9,1,0.0
-9,2,0.0
-9,3,0.0
-9,4,0.0
-9,5,0.0
-9,6,0.0
-9,7,0.0
-9,8,0.0
-9,9,0.0
-9,10,0.0
-9,11,0.0
-9,12,0.0
-9,13,0.0
-9,14,0.0
-9,15,0.0
-8,-16,2.966561992092806e-33
-8,-15,0.0
-8,-14,5.3860964124690125e-33
-8,-13,0.0
-8,-12,9.339774204482514e-34
-8,-11,0.0
-8,-10,6.294250488280574e-05
-8,-9,0.0
-8,-8,0.004154205322265234
-8,-7,0.0
-8,-6,0.01693153381347496
-8,-5,0.0
-8,-4,0.004028320312499601
-8,-3,0.0
-8,-2,0.0047836303710932625
-8,-1,0.0
-8,0,0.004531860351562044
-8,1,0.0
-8,2,0.004783630371093266
-8,3,0.0
-8,4,0.004028320312499605
-8,5,0.0
-8,6,0.016931533813475046
-8,7,0.0
-8,8,0.004154205322265254
-8,9,0.0
-8,10,6.29425048828048e-05
-8,11,0.0
-8,12,2.0860165049837285e-32
-8,13,0.0
-8,14,5.151882282558528e-33
-8,15,0.0
-7,-16,0.0
-7,-15,0.0
-7,-14,0.0
-7,-13,0.0
-7,-12,0.0
-7,-11,0.0
-7,-10,0.0
-7,-9,0.0
-7,-8,0.0
-7,-7,0.0
-7,-6,0.0
-7,-5,0.0
-7,-4,0.0
-7,-3,0.0
-7,-2,0.0
-7,-1,0.0
-7,0,0.0
-7,1,0.0
-7,2,0.0
-7,3,0.0
-7,4,0.0
-7,5,0.0
-7,6,0.0
-7,7,0.0
-7,8,0.0
-7,9,0.0
-7,10,0.0
-7,11,0.0
-7,12,0.0
-7,13,0.0
-7,14,0.0
-7,15,0.0
-6,-16,2.648470050424261e-32
-6,-15,0.0
-6,-14,2.3116887215641387e-32
-6,-13,0.0
-6,-12,1.292640442101727e-32
-6,-11,0.0
-6,-10,0.00025653839111325355
-6,-9,0.0
-6,-8,0.01693153381347493
-6,-7,0.0
-6,-6,0.06900882720946594
-6,-5,0.0
-6,-4,0.016418457031248362
-6,-3,0.0
-6,-2,0.019496917724607467
-6,-1,0.0
-6,0,0.018470764160154533
-6,1,0.0
-6,2,0.01949691772460753
-6,3,0.0
-6,4,0.01641845703124847
-6,5,0.0
-6,6,0.06900882720946666
-6,7,0.0
-6,8,0.016931533813474973
-6,9,0.0
-6,10,0.0002565383911132491
-6,11,0.0
-6,12,5.409464895374709e-32
-6,13,0.0
-6,14,2.0265529943133797e-32
